apelido,atleta_id,clube_id,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,status_id,variacao_num,A,CA,CV,DD,FC,FD,FF,FS,FT,G,GC,GS,I,PE,RB,SG
Fabrício Bruno,154,315,0,0.0,Fabrício Bruno Soares de Faria,0.0,3,6.0,1,5,0.0,,,,,,,,,,,,,,,,
Hiago,155,315,0,0.0,Hiago Correa Silveira Cena,0.0,3,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Elias,156,315,0,0.0,Elias Martello Curzel,0.0,1,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Perotti,157,315,0,0.0,Pedro Henrique Perotti,0.0,5,2.0,1,5,0.0,,,,,,,,,,,,,,,,
Tiepo,158,315,0,0.0,Giovanni Silva Tiepo,0.0,1,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Arnaldo,159,354,1,0.0,Arnaldo Manoel de Almeida,0.0,2,4.13,1,6,-1.87,,,,,,,,,,,,,,,,
Ronaldo,160,262,0,0.0,Ronaldo da Silva Souza,0.0,4,3.0,1,6,0.0,,,,,,,,,,,,,,,,
Marlos,161,262,0,0.0,Marlos Moreno Durán,0.0,5,6.0,1,6,0.0,,,,,,,,,,,,,,,,
Lucas Paquetá,162,262,1,12.1,Lucas Tolentino Coelho de Lima,12.1,4,17.98,1,7,3.98,,,,,1.0,1.0,,5.0,,1.0,,,,2.0,1.0,
Léo Duarte,163,262,0,0.0,Leonardo Campos Duarte da Silva,0.0,3,5.0,1,6,0.0,,,,,,,,,,,,,,,,
Thiago,164,262,0,0.0,Thiago Rodrigues da Silva,0.0,1,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Gabriel Batista,165,262,0,0.0,Gabriel Batista de Souza,0.0,1,3.0,1,6,0.0,,,,,,,,,,,,,,,,
Rafael,166,262,0,0.0,Rafael Santos de Sousa,0.0,3,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Lucas Silva,167,262,0,0.0,Lucas da Silva de Jesus,0.0,5,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Felipe Vizeu,168,262,0,0.0,Felipe dos Reis Pereira Vizeu do Carmo,0.0,5,6.0,1,3,0.0,,,,,,,,,,,,,,,,
Lincoln,169,262,0,0.0,Lincoln Corrêa dos Santos,0.0,5,4.0,1,6,0.0,,,,,,,,,,,,,,,,
Vinicius Junior,170,262,1,6.4,Vinicius José Paixão de Oliveira Junior,6.4,5,11.3,1,7,1.3,1.0,,,,1.0,1.0,2.0,3.0,,,,,,8.0,,
Jean Lucas,171,262,0,0.0,Jean Lucas de Souza Oliveira,0.0,4,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Kleber,172,262,0,0.0,Kleber Augusto Caetano Leite Filho,0.0,2,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Pepê,173,262,0,0.0,João Pedro Vilardi Pinto,0.0,4,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Michael,174,262,0,0.0,Michael Rangel dos Santos de Almeida,0.0,2,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Wendel,175,262,0,0.0,Wendel da Silva Costa,0.0,5,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Thuler,176,262,0,0.0,Matheus Soares Thuler,0.0,3,2.0,1,6,0.0,,,,,,,,,,,,,,,,
Matheus Dantas,177,262,0,0.0,Matheus de Jesus Dantas,0.0,3,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Hugo Souza,178,262,0,0.0,Hugo de Souza Nogueira,0.0,1,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Pablo Maldini,179,262,0,0.0,Pablo Carneiro Freitas,0.0,2,1.0,1,6,0.0,,,,,,,,,,,,,,,,
Vitor Gabriel,180,262,0,0.0,Vitor Gabriel Claudino Rego Ferreira,0.0,5,1.0,1,6,0.0,,,,,,,,,,,,,,,,
